Name,Space addr,Space
APSW_Model_FD_100ms,0x80300000,
APSW_Model_FD_10ms,0x80300030,
APSW_Model_FD_20ms,0x80300288,
APSW_Model_FD_5ms,0x803002b4,
APSW_Model_FD_Init,0x803002bc,
APSW_Model_FD_MdlrefDW,0x50000048,
APSW_Model_FD_initialize,0x803003a4,
ASU_Air_Tank_Pressure_CHS1,0x700326dc,
ASW_BASE_MainFunction,0x80050806,
ASW_CAN_MainFunction,0x800c39fc,
ASW_CHRGPLUG_10ms_MainFunction,0x800c39fc,
ASW_CHRGPLUG_1ms_MainFunction,0x800c39fc,
ASW_CHRGPLUG_5ms_MainFunction,0x800c39fc,
ASW_CPULoad_Calculation,0x8005082c,
ASW_Cmd,0x7000ee08,
ASW_DCM_MainFunction,0x800c39fc,
ASW_DEM_MainFunction,0x80050906,
ASW_Get_Task_MaxElapsedTime,0x80050924,
ASW_Init,0x80050928,
ASW_LIN_MainFunction,0x800c39fc,
ASW_NVM_MainFunction,0x800c39fc,
ASW_XCP_MainFunction,0x800c39fc,
AVL_BRTORQ_WHL_FS_LH_EXT_CHS1,0x700326e0,
AVL_BRTORQ_WHL_FS_LH_EXT_CHS2,0x700326e4,
AVL_BRTORQ_WHL_FS_RH_EXT_CHS1,0x700326e8,
AVL_BRTORQ_WHL_FS_RH_EXT_CHS2,0x700326ec,
AVL_BRTORQ_WHL_RS_LH_EXT_CHS1,0x700326f0,
AVL_BRTORQ_WHL_RS_LH_EXT_CHS2,0x700326f4,
AVL_BRTORQ_WHL_RS_RH_EXT_CHS1,0x700326f8,
AVL_BRTORQ_WHL_RS_RH_EXT_CHS2,0x700326fc,
AVL_LOGR_RW_CHS1,0x70032700,
AVL_RPM_WHL_FLH_CHS1,0x70032704,
AVL_RPM_WHL_FLH_CHS2,0x70032708,
AVL_RPM_WHL_FRH_CHS1,0x7003270c,
AVL_RPM_WHL_FRH_CHS2,0x70032710,
AVL_RPM_WHL_RLH_CHS1,0x70032714,
AVL_RPM_WHL_RLH_CHS2,0x70032718,
AVL_RPM_WHL_RLH_PT,0x7003271c,
AVL_RPM_WHL_RRH_CHS1,0x70032720,
AVL_RPM_WHL_RRH_CHS2,0x70032724,
AVL_RPM_WHL_RRH_PT,0x70032728,
AVL_VL_RPM_EWP_P1,0x7003272c,
AVL_VL_RPM_EWP_P2,0x70032730,
AVL_VL_RPM_EWP_P3,0x70032734,
AccP_bApdAccrPedlPlaus_MP,0x5000004c,
AccP_bSen1SuplOrng_MP,0x50000050,
AccP_bSen2SuplOrng_MP,0x50000054,
AccP_percAccrPedlRaw_MP,0x50000058,
Accp_percAccrPedlErrLim_MP,0x5000005c,
Adc_Config,0x801765a8,
Adc_DeInit,0x80050948,
Adc_DisableGroupNotification,0x80050a5a,
Adc_EnableGroupNotification,0x80050aa0,
Adc_GetGroupStatus,0x80050ae6,
Adc_GetStartupCalStatus,0x80050b4c,
Adc_GetStreamLastPointer,0x80050b9c,
Adc_Init,0x80050cb8,
Adc_RS0EventInterruptHandler,0x80050eaa,
Adc_ReadGroup,0x80050f06,
Adc_SetupResultBuffer,0x80051048,
Adc_StartGroupConversion,0x800510f4,
Adc_StopGroupConversion,0x80051318,
Adc_TriggerStartupCal,0x80051384,
Air_Spring_Status_CHS1,0x70032840,
Appl_ProgM_DisableRxAndTx,0x8005215c,
Appl_ProgM_EnableRxAndTx,0x8005215c,
Apsw_Cal,0x809c0048,
Apsw_Cal_ptr,0x809c0004,
Apsw_Sig,0x7000267c,
Apsw_Sig_ptr,0x70004344,
ArCounter_0_ast,0x700269b0,
ArNudConfigConfig_ast,0x70006a54,
ArNudPrefRoutCache_ast,0x8018a96c,
ArNud_SubConfig_ast_0_ast,0x70006a5c,
BCM_bBcmDiagEna_MP,0x50000060,
BCM_bBcmDiagRst_MP,0x50000064,
BINARYSEARCH_U32,0x803007c6,
BINARYSEARCH_U8,0x80300806,
BINARYSEARCH_real32_T,0x80300846,
BINARYSEARCH_real32_T_Near_iL,0x80300894,
BINARYSEARCH_real32_T_iL,0x803008f2,
BMS_BalanceSts_PT,0x70032844,
BMS_BatBalanceErr_PT,0x70032848,
BMS_BatteryReplacement_PT,0x7003284c,
BMS_CellHighVolErr_PT,0x70032850,
BMS_CellLowVolErr_PT,0x70032854,
BMS_CellNumMaxCellVol_PT,0x70032858,
BMS_CellNumMinCellVol_PT,0x7003285c,
BMS_CellTempErr_B,0x70032860,
BMS_CellVoltDiffErr_PT,0x70032864,
BMS_CellVoltErr_B,0x70032868,
BMS_ChargeStopReq_PT,0x7003286c,
BMS_ChargingCurrent_B,0x70032870,
BMS_ChargingVoltage_B,0x70032874,
BMS_ChgCurrentReq_PT,0x70032878,
BMS_ChgVoltageReq_PT,0x7003287c,
BMS_ContactorAging_PT,0x70032880,
BMS_CoolPwrDemand_PT,0x70032884,
BMS_CoolantInletTemp_PT,0x70032888,
BMS_CoolantOutletTemp_PT,0x7003288c,
BMS_DCFCNegRelayErr_PT,0x70032890,
BMS_DCFCNegRelayStatus_PT,0x70032894,
BMS_DCFCPosRelayErr_PT,0x70032898,
BMS_DCFCPosRelayStatus_PT,0x7003289c,
BMS_DCPlugVol_PT,0x700328a0,
BMS_DisconnectRequestRsn_PT,0x700328a4,
BMS_EmergencyDisconnectRsn_PT,0x700328a8,
BMS_ErrLev_PT,0x700328ac,
BMS_FlowRateReq_PT,0x700328b0,
BMS_FuseStatusErr_B,0x700328b4,
BMS_FuseStatusErr_PT,0x700328b8,
BMS_HVBusVol_PT,0x700328bc,
BMS_HVFuseVol_PT,0x700328c0,
BMS_HVILErr_B,0x700328c4,
BMS_HVILErr_PT,0x700328c8,
BMS_HVILSts_PT,0x700328cc,
BMS_HVLinkVol_PT,0x700328d0,
BMS_HVOnOffSts_PT,0x700328d4,
BMS_HVPackVol_PT,0x700328d8,
BMS_HWCrashSts_PT,0x700328dc,
BMS_HeatPwrDemand_PT,0x700328e0,
BMS_IGNSts_PT,0x700328e4,
BMS_LimpHomeRsn_PT,0x700328e8,
BMS_LowBattery_B,0x700328ec,
BMS_LowBattery_PT,0x700328f0,
BMS_MainPosRelayErr_PT,0x700328f4,
BMS_MainPosRelayStatus_PT,0x700328f8,
BMS_MalfunctionSts_B,0x700328fc,
BMS_MalfunctionSts_PT,0x70032900,
BMS_MaxCellTemp_PT,0x70032904,
BMS_MaxCellVol_PT,0x70032908,
BMS_MaxChgCurrent10s_PT,0x7003290c,
BMS_MaxChgCurrent30s_PT,0x70032910,
BMS_MaxChgCurrent5s_PT,0x70032914,
BMS_MaxChgCurrentLimPeak_PT,0x70032918,
BMS_MaxChgCurrentLim_PT,0x7003291c,
BMS_MaxChgPwr10s_PT,0x70032920,
BMS_MaxChgPwr30s_PT,0x70032924,
BMS_MaxChgPwr5s_PT,0x70032928,
BMS_MaxChgPwrLimPeak_PT,0x7003292c,
BMS_MaxChgPwrLim_PT,0x70032930,
BMS_MaxDischgCurrent10s_PT,0x70032934,
BMS_MaxDischgCurrent30s_PT,0x70032938,
BMS_MaxDischgCurrent5s_PT,0x7003293c,
BMS_MaxDischgCurrentLimPeak_PT,0x70032940,
BMS_MaxDischgCurrentLim_PT,0x70032944,
BMS_MaxDischgPwr10s_PT,0x70032948,
BMS_MaxDischgPwr30s_PT,0x7003294c,
BMS_MaxDischgPwr5s_PT,0x70032950,
BMS_MaxDischgPwrLimPeak_PT,0x70032954,
BMS_MaxDischgPwrLim_PT,0x70032958,
BMS_MaxMinDiffCellTemp_PT,0x7003295c,
BMS_MaxMinDiffCellVol_PT,0x70032960,
BMS_MinCellTemp_PT,0x70032964,
BMS_MinCellVol_PT,0x70032968,
BMS_PackCurMeas_PT,0x7003296c,
BMS_PackCur_B,0x70032970,
BMS_PackHighVolErr_PT,0x70032974,
BMS_PackInsuErr_B,0x70032978,
BMS_PackInsuErr_PT,0x7003297c,
BMS_PackInsuRes_PT,0x70032980,
BMS_PackLowVolErr_PT,0x70032984,
BMS_PackOverCurrErr_B,0x70032988,
BMS_PackOverCurrErr_PT,0x7003298c,
BMS_PackTempSts_B,0x70032990,
BMS_PackTempSts_PT,0x70032994,
BMS_PackTemp_B,0x70032998,
BMS_PackTemp_PT,0x7003299c,
BMS_PackVolErr_B,0x700329a0,
BMS_PackVoltage_B,0x700329a4,
BMS_PreChgRelayErr_PT,0x700329a8,
BMS_PreChgRelayStatus_PT,0x700329ac,
BMS_ProbeHighTempErr_PT,0x700329b0,
BMS_ProbeLowTempErr_PT,0x700329b4,
BMS_ProbeNumMaxCellTemp_PT,0x700329b8,
BMS_ProbeNumMinCellTemp_PT,0x700329bc,
BMS_ProbeTempDiffErr_PT,0x700329c0,
BMS_RemainChargeTime_B,0x700329c4,
BMS_RemainChargeTime_PT,0x700329c8,
BMS_Reserved_signal1_B,0x700329cc,
BMS_Reserved_signal1_PT,0x700329d0,
BMS_Reserved_signal2_B,0x700329d4,
BMS_Reserved_signal2_PT,0x700329d8,
BMS_Reserved_signal3_B,0x700329dc,
BMS_Reserved_signal3_PT,0x700329e0,
BMS_Reserved_signal4_B,0x700329e4,
BMS_Reserved_signal4_PT,0x700329e8,
BMS_Reserved_signal5_B,0x700329ec,
BMS_Reserved_signal5_PT,0x700329f0,
BMS_SOE_PT,0x700329f4,
BMS_SOH_PT,0x700329f8,
BMS_ServiceDisconnectSts_PT,0x700329fc,
BMS_SocActualEst_PT,0x70032a00,
BMS_SocRelativeEst_PT,0x70032a04,
BMS_StartOfMeasument_STS_PT,0x70032a08,
BMS_SysSts_PT,0x70032a0c,
BMS_ThermalRunaway_B,0x70032a10,
BMS_ThermalRunaway_PT,0x70032a14,
BMS_TotalNegRelayErr_PT,0x70032a18,
BMS_TotalNegRelayStatus_PT,0x70032a1c,
BMS_VCU_CoolingOnOffReq_PT,0x70032a20,
BMS_VCU_HeatingOnOffReq_PT,0x70032a24,
BMS_VCU_InsulationMonSts_PT,0x70032a28,
BMS_Warning_Flag_5_PT,0x70032a2c,
BMS_Warning_Flag_6_PT,0x70032a30,
BMS_Warning_Flag_7_PT,0x70032a34,
BMS_Warning_Flag_8_PT,0x70032a38,
BMS_Warning_Flag_9_PT,0x70032a3c,
BaseStateMachineState,0x70000340,
Bhc_percPtcBatt_MP,0x50000068,
Bhc_percPtcCbn_MP,0x5000006c,
Brake_bBrkDiagEna_MP,0x50000070,
Brake_bBrkDiagRst_MP,0x50000074,
BreakPedalPercentValid_CHS1,0x70032a50,
BreakPedalPercentValid_CHS2,0x70032a54,
BreakPedalPercent_CHS1,0x70032a58,
BreakPedalPercent_CHS2,0x70032a5c,
BswM_Appl_IncompatibleGenerator,0x800c39fc,
BswM_CanSM_CurrentState,0x800522c0,
BswM_Cfg_AC_BswMComMAllowCom_cast,0x8017897c,
BswM_Cfg_AC_BswMComMModeSwitch_cast,0x80178994,
BswM_Cfg_AC_BswMSchMSwitch_cast,0x801789f0,
BswM_Cfg_AC_BswMUserCallout_cast,0x80178a8c,
BswM_Cfg_AL_cast,0x80179044,
BswM_Cfg_CanSMIndicationModeInfo_ast,0x70000418,
BswM_Cfg_ComMIndicationModeInfo_ast,0x70000420,
BswM_Cfg_DcmComModeRequestModeInfo_ast,0x70000424,
BswM_Cfg_DfrdSwcNotification_BswMSwcModeRequest_SWC_REQUEST_RESET,0x80052842,
BswM_Cfg_DfrdSwcNotification_BswMSwcModeRequest_SWC_REQUEST_SHUTDOWN,0x8005284a,
BswM_Cfg_DfrdSwcNotification_BswM_MRP_SWC_Network_FULL_COM,0x80052852,
BswM_Cfg_DfrdSwcNotification_BswM_MRP_SWC_Network_NO_COM,0x8005285a,
BswM_Cfg_EcuMWkpSrcInfo_ast,0x70000428,
BswM_Cfg_GenericReqModeInfo_ast,0x7000042c,
BswM_Cfg_ImdtBswNotification_BswM_MRP_BswM_MDG_ECUM_STATE_APP_RUN,0x80052862,
BswM_Cfg_ImdtBswNotification_BswM_MRP_BswM_MDG_ECUM_STATE_PREP_SHUTDOWN,0x8005286a,
BswM_Cfg_ImdtBswNotification_BswM_MRP_BswM_MDG_ECUM_STATE_RUN,0x80052872,
BswM_Cfg_ImdtBswNotification_BswM_MRP_BswM_MDG_ECUM_STATE_SHUTDOWN,0x8005287a,
BswM_Cfg_ImdtBswNotification_BswM_MRP_BswM_MDG_ECUM_STATE_STARTUP_ONE,0x80052882,
BswM_Cfg_ImdtBswNotification_BswM_MRP_BswM_MDG_ECUM_STATE_STARTUP_TWO,0x8005288a,
BswM_Cfg_LE_BswM_LE_AppRun,0x8005252a,
BswM_Cfg_LE_BswM_LE_DCM_DISABLE_RX_ENABLE_TX_NORM,0x8005256e,
BswM_Cfg_LE_BswM_LE_DCM_DISABLE_RX_TX_NORM,0x80052590,
BswM_Cfg_LE_BswM_LE_DCM_ENABLE_RX_DISABLE_TX_NORM,0x800525b2,
BswM_Cfg_LE_BswM_LE_DCM_ENABLE_RX_TX_NORM,0x800525d4,
BswM_Cfg_LE_BswM_LE_NetworkRelease,0x800525f6,
BswM_Cfg_LE_BswM_LE_NetworkRequest,0x80052618,
BswM_Cfg_LE_BswM_LE_PostRun,0x8005263a,
BswM_Cfg_LE_BswM_LE_PrepShutdown,0x80052680,
BswM_Cfg_LE_BswM_LE_Run,0x800526a2,
BswM_Cfg_LE_BswM_LE_Run_Wakeup_CanMsg,0x800526c4,
BswM_Cfg_LE_BswM_LE_Run_Wakeup_KL15,0x80052708,
BswM_Cfg_LE_BswM_LE_Shutdown,0x8005274c,
BswM_Cfg_LE_BswM_LE_StartLin,0x80052790,
BswM_Cfg_LE_BswM_LE_StartupOne,0x800527b2,
BswM_Cfg_LE_BswM_LE_StartupTwo,0x800527d4,
BswM_Cfg_LE_BswM_LE_SwcRequestShutdownOrReset,0x80052818,
BswM_Cfg_NvMJobModeInfo_ast,0x70000438,
BswM_Cfg_ProcessSchMSwitchFunction,0x800524fa,
BswM_Cfg_ProcessUserCalloutFunction,0x80052512,
BswM_ComM_CurrentMode,0x80052892,
BswM_ComM_CurrentPNCMode,0x800c39fc,
BswM_ComM_InitiateReset,0x800c39fc,
BswM_Config,0x80179248,
BswM_Configurations_capcst,0x80179318,
BswM_Dcm_ApplicationUpdated,0x800c39fc,
BswM_Dcm_CommunicationMode_CurrentState,0x8005297c,
BswM_Deinit,0x80052178,
BswM_EcuM_CurrentState,0x800c39fc,
BswM_EcuM_CurrentWakeup,0x80052a84,
BswM_EcuM_RequestedState,0x800c39fc,
BswM_EthSM_CurrentState,0x800c39fc,
BswM_GetDelayedReqInfo_capfct,0x7000043c,
BswM_GetVersionInfo,0x80052184,
BswM_Init,0x800521a8,
BswM_LinSM_CurrentSchedule,0x800c39fc,
BswM_LinSM_CurrentState,0x800c39fc,
BswM_MainFunction,0x8005221a,
BswM_NvM_CurrentBlockMode,0x800c39fc,
BswM_NvM_CurrentJobMode,0x80052ca4,
BswM_Prv_Arbitrate_Rule,0x800537b0,
BswM_Prv_ClearAllDeferredRequests,0x8005337e,
BswM_Prv_CopyModeInitValues,0x80052d80,
BswM_Prv_CopyRuleInitSates,0x80052f00,
BswM_Prv_DeferredReqstInfo_ast,0x700004b0,
BswM_Prv_DeferredRuleEvaluation_b,0x70000510,
BswM_Prv_Evaluate_Action,0x8005301a,
BswM_Prv_Evaluate_ActionList,0x80053050,
BswM_Prv_Evaluate_Rule,0x80053804,
BswM_Prv_GetCanSMIndicationInfo_en,0x80053512,
BswM_Prv_GetCanSMMRPIndex_b,0x80053228,
BswM_Prv_GetComMIndicationInfo_en,0x80053576,
BswM_Prv_GetComMMRPIndex_b,0x8005324e,
BswM_Prv_GetDcmComModeReqstInfo_en,0x800535bc,
BswM_Prv_GetDcmComModeRequestMRPIndex_b,0x80053276,
BswM_Prv_GetEcuMWkpSrcInfo_en,0x80053602,
BswM_Prv_GetEcuMWkpSrcMRPIndex_b,0x8005329e,
BswM_Prv_GetGenReqInfo_en,0x80053648,
BswM_Prv_GetGenReqMRPIndex_b,0x800532c6,
BswM_Prv_GetNvMJobModeInfo_en,0x80053692,
BswM_Prv_GetNvMJobModeMRPIndex_b,0x800532ee,
BswM_Prv_IntrptQueueIn,0x800530ea,
BswM_Prv_IntrptQueueInfo_st,0x70000a20,
BswM_Prv_IntrptQueueOut,0x8005315e,
BswM_Prv_ProcessDeferredReqst,0x8005345a,
BswM_Prv_ProcessDelayedReqst,0x800536dc,
BswM_Prv_ReqProcessOrQueue_b,0x80053316,
BswM_Prv_RuleEval,0x80053358,
BswM_Prv_RuleState_aen,0x70000610,
BswM_Prv_StoreDeferredRequest,0x800534d0,
BswM_Prv_adrSelectedConfig_pcst,0x70008438,
BswM_Prv_ctrInterrupt_u8,0x7000843c,
BswM_Prv_flgDeferredReqstProgress_b,0x70008440,
BswM_Prv_flgDelayDeferredReqst_b,0x70008444,
BswM_Prv_flgDelayedReqstProgress_b,0x70008448,
BswM_Prv_flgNewReqstProgress_b,0x7000844c,
BswM_Prv_flgTimerActionState_b,0x70008450,
BswM_Prv_isModuleInitialised_b,0x70000a1c,
BswM_Prv_isReqstDelayed_b,0x70008454,
BswM_Rb_ctrInterrupt_au8,0x70008458,
BswM_RequestMode,0x80052ba8,
BswM_isMultipleActionListTriggered_ab,0x70000a0c,
CANTRCV_SPI_TRANSMIT,0x800538a2,
CCM_AppSec_ISO_AUTHREQSubstate,0x70000a88,
CCM_AppSec_ISO_CIRESSubstate,0x70000a90,
CCM_AppSec_ISO_CURESSubstate,0x70000a98,
CCM_AppSec_ISO_Init,0x80054616,
CCM_AppSec_ISO_SigGen,0x80055422,
CCM_AppSec_ISO_SigVerify,0x800554c6,
CCM_AppSec_ISO_SigVerifyState,0x70000adc,
CCM_AppSec_ISO_SignatureGenerateGetStatus,0x800555b8,
CCM_AppSec_ISO_SignatureGenerationProcessor,0x800555c2,
CCM_AppSec_ISO_SignatureVerifyGetStatus,0x8005562c,
CCM_AppSec_ISO_SignatureVerifyProcessor,0x80055636,
CCM_App_DLinkIndication,0x80053906,
CCM_App_DeInit,0x80053928,
CCM_App_DeserializedEXIBuffer,0x70008498,
CCM_App_EXIBackgroundFunction,0x8005393a,
CCM_App_FlushExiStream,0x8005394a,
CCM_App_GetV2GMessagingState,0x80053980,
CCM_App_ISO_BG_Task_CertificateUpdate,0x70000b34,
CCM_App_ISO_EXIBackgroundFunction,0x8005567c,
CCM_App_ISO_EXI_BG_Result,0x70000b80,
CCM_App_ISO_EXI_BG_Stream,0x70000b84,
CCM_App_ISO_EXI_BG_Task,0x70000b88,
CCM_App_ISO_GetChargingSessionSegment,0x8005581a,
CCM_App_ISO_GetMsgStateTransitionTable,0x80055820,
CCM_App_ISO_InitMessagingContext,0x80055832,
CCM_App_ISO_IsPauseRequested,0x800559e2,
CCM_App_ISO_StartCableCheckProcessingTimer,0x70000c00,
CCM_App_ISO_StartPreChargeProcessingTimer,0x70000c04,
CCM_App_ISO_Start_EVSEProcessingOngoing,0x70000c08,
CCM_App_Init,0x800539a4,
CCM_App_IpAddressAssignmentChg,0x800539c4,
CCM_App_MainFunction,0x800539e0,
CCM_App_RegisterResponseTout,0x800544fc,
CCM_App_RequestCpState,0x80054506,
CCM_App_SessionId,0x7000bff8,
CCM_App_StartCableCheckToutMon,0x80054510,
CCM_App_StartOngoingEvccToutMon,0x80054528,
CCM_App_StartPreChargeToutMon,0x80054540,
CCM_App_StopEvccCommSetupTimer,0x80054558,
CCM_App_TcpConnected,0x80054564,
CCM_App_TcpIp_RxIndication,0x80054588,
CCM_App_ValidateRequiredTpSec,0x800545e0,
CCM_EXI_AppProtocol_Decoder_Decode_EXI_Document_supportedAppProtocolResType,0x80059a52,
CCM_EXI_AppProtocol_EncDec_Common_EXI_Document_supportedAppProtocolReq_SEEncSts,0x80179920,
CCM_EXI_AppProtocol_EncDec_Common_EXI_Document_supportedAppProtocolRes_SEEncSts,0x80179924,
CCM_EXI_AppProtocol_EncDec_Common_Init_EXI_Document_supportedAppProtocolReqType,0x80059b68,
CCM_EXI_AppProtocol_EncDec_Common_Init_EXI_Document_supportedAppProtocolResType,0x80059b76,
CCM_EXI_AppProtocol_EncDec_Common_supportedAppProtocolReqType_AppProtocol_SEEncSts,0x80179928,
CCM_EXI_AppProtocol_EncDec_Common_supportedAppProtocolReqType_EEEncSts,0x8017992c,
CCM_EXI_AppProtocol_EncDec_Common_supportedAppProtocolResType_EEEncSts,0x80179934,
CCM_EXI_AppProtocol_EncDec_Common_supportedAppProtocolResType_SchemaID_SEEncSts,0x80179920,
CCM_EXI_AppProtocol_Encoder_Encode_EXI_Document_supportedAppProtocolReqType,0x80059b82,
CCM_EXI_CommonMandatorySingleState_EventEncodingStates,0x80179938,
CCM_EXI_DecodeTopLevelExiDocHelper,0x8005a1de,
CCM_EXI_Decode_ElementContent_Binary,0x8005a210,
CCM_EXI_Decode_ElementContent_String,0x8005a222,
CCM_EXI_Decode_SimpleElement_Binary,0x8005a234,
CCM_EXI_Decode_SimpleElement_Boolean,0x8005a27c,
CCM_EXI_Decode_SimpleElement_NBitUnsignedInteger,0x8005a2bc,
CCM_EXI_Decode_SimpleElement_String,0x8005a300,
CCM_EXI_Decode_SimpleElement_sint16,0x8005a348,
CCM_EXI_Decode_SimpleElement_sint32,0x8005a388,
CCM_EXI_Decode_SimpleElement_sint64,0x8005a3c8,
CCM_EXI_Decode_SimpleElement_uint16,0x8005a408,
CCM_EXI_Decode_SimpleElement_uint32,0x8005a448,
CCM_EXI_Decode_SimpleElement_uint64,0x8005a488,
CCM_EXI_EncodeBits,0x8005a72e,
CCM_EXI_EncodeExiHeader,0x8005a7f0,
CCM_EXI_Encode_ElementContent_Attribute,0x8005a806,
CCM_EXI_Encode_ElementContent_Binary,0x8005a830,
CCM_EXI_Encode_ElementContent_String,0x8005a85a,
CCM_EXI_Encode_SimpleElement_Binary,0x8005a884,
CCM_EXI_Encode_SimpleElement_Boolean,0x8005a8be,
CCM_EXI_Encode_SimpleElement_NBitUnsignedInteger,0x8005a8ee,
CCM_EXI_Encode_SimpleElement_SignedInteger,0x8005a922,
CCM_EXI_Encode_SimpleElement_String,0x8005a95e,
CCM_EXI_Encode_SimpleElement_UnsignedInteger,0x8005a998,
CCM_EXI_GetNextDecoderTask,0x8005a4c8,
CCM_EXI_GetNextEncoderState,0x8005a9d4,
CCM_EXI_ISO_MsgDef_Decoder_Decode_EXI_Document_V2G_MessageType,0x8005aa50,
CCM_EXI_ISO_MsgDef_EncDec_Common_AC_EVChargeParameterType_DepartureTime_SEEncSts,0x80179920,
CCM_EXI_ISO_MsgDef_EncDec_Common_AC_EVChargeParameterType_EAmount_SEEncSts,0x80179934,
CCM_EXI_ISO_MsgDef_EncDec_Common_AuthorizationReqType_EEEncSts,0x8017a324,
CCM_EXI_ISO_MsgDef_EncDec_Common_AuthorizationReqType_GenChallenge_SEEncSts,0x8017a32c,
CCM_EXI_ISO_MsgDef_EncDec_Common_AuthorizationReqType_Id_ATEncSts,0x80179920,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_AuthorizationReq_SEEncSts,0x8017a330,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_AuthorizationRes_SEEncSts,0x8017a334,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_BodyElement_SEEncSts,0x8017a338,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_CableCheckReq_SEEncSts,0x8017a33c,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_CableCheckRes_SEEncSts,0x8017a340,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_CertificateInstallationReq_SEEncSts,0x8017a344,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_CertificateInstallationRes_SEEncSts,0x8017a348,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_CertificateUpdateReq_SEEncSts,0x8017a34c,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_CertificateUpdateRes_SEEncSts,0x8017a350,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_ChargeParameterDiscoveryReq_SEEncSts,0x8017a354,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_ChargeParameterDiscoveryRes_SEEncSts,0x8017a358,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_ChargingStatusReq_SEEncSts,0x8017a35c,
CCM_EXI_ISO_MsgDef_EncDec_Common_BodyType_ChargingStatusRes_SEEncSts,0x8017a360,
